time,MAC address,pi1,pi2,pi3,pi4,pi5,x,y,floor
2020-02-21 14:53:15.864312,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-150,-57,-57,-39,173,69,0
2020-02-21 14:53:26.804643,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-43,-150,-73,-150,-150,210,44,0
2020-02-21 14:53:21.541561,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-59,-61,-150,-150,179,62,0
2020-02-21 14:53:29.513936,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-71,-150,-150,-65,-59,192,93,0
2020-02-21 14:53:48.909098,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-65,-61,-57,-37,167,71,0
2020-02-21 14:53:52.968509,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-150,-150,-150,209,44,0
2020-02-21 14:53:58.512320,3f1b1d1b9f3490477c6a4250e524f52a9893e3a7f1e13f228b55c0a949050f48,-150,-150,-59,-150,-65,172,60,0
2020-02-21 14:54:04.013766,c5e9a88cf45ae1c76fecdbe1535749e0d670a417d449a0cc64099ddd0d1a003e,-150,-150,-53,-150,-47,169,50,0
2020-02-21 14:54:07.365626,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-59,-150,-55,-150,184,74,0
2020-02-21 14:54:09.947568,f5568947c1cf06e5d86d62ab4cb1594e1736d9e752407a762ecadde008cf275d,-150,-67,-150,-150,-150,129,65,0
2020-02-21 14:54:03.023570,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-77,-71,-150,-150,189,91,0
2020-02-21 14:54:03.409597,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-69,-150,-63,-37,172,66,0
2020-02-21 14:54:19.181986,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-59,-150,-53,-59,149,56,0
2020-02-21 14:54:18.122032,4b0f3abff224b0715665b1239bdc2a74cd9130d826f524b4b5775cc9580df5b8,-150,-150,-150,-150,-51,166,74,0
2020-02-21 14:54:19.849993,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-63,-150,-35,168,75,0
2020-02-21 14:54:26.400073,b8409b28418b2a21351ccc13269b3c6763847cf3f591d509c285ef29926f0721,-150,-73,-75,-150,-150,108,61,0
2020-02-21 14:54:21.554493,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-63,-150,-150,-150,-150,193,92,0
2020-02-21 14:54:30.314247,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-150,-150,-150,170,55,0
2020-02-21 14:54:38.575210,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-69,-150,-150,-65,-59,192,94,0
2020-02-21 14:54:34.520391,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-65,-59,-61,-37,173,89,0
2020-02-21 14:54:44.506630,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-59,-59,-61,-150,115,84,0
2020-02-21 14:54:53.554749,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-63,-150,-57,-61,138,63,0
2020-02-21 14:54:50.545044,3130db8293f68b41419d8cb60b7d2b0964b725acdd2272b6bfbb2be25e021974,-150,-150,-150,-150,-43,137,77,0
2020-02-21 14:54:50.183882,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-61,-59,-57,-150,161,69,0
2020-02-21 14:55:07.623936,1f217e4896384849cd5a4b23371775044be5fca7558e79de505326390125ee3d,-150,-150,-150,-73,-63,161,60,0
2020-02-21 14:55:12.110847,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-150,-150,-150,213,42,0
2020-02-21 14:55:21.467983,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-67,-150,-63,-150,182,89,0
2020-02-21 14:55:39.867622,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-150,-150,-150,211,41,0
2020-02-21 14:55:30.645523,528085eea6e23663037ddd581170df51ead1f95af4b687708f1db17b4b31d7e7,-150,-150,-150,-51,-150,119,71,0
2020-02-21 14:55:33.316924,4b0f3abff224b0715665b1239bdc2a74cd9130d826f524b4b5775cc9580df5b8,-150,-150,-150,-150,-47,163,67,0
2020-02-21 14:55:40.347711,45e3c94cb6cf6f042d2bae450f04891b767e92d3e704cc7785cef4afd5155f73,-150,-67,-150,-150,-150,186,93,0
2020-02-21 14:55:41.652117,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-73,-77,-67,-65,-55,195,92,0
2020-02-21 14:55:46.707739,7db5342b23ad8f72939fb8bae7ac9cfab9c0783357da922a0ee23b3473bf9da4,-67,-150,-150,-150,-150,215,79,0
2020-02-21 14:55:40.224979,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-69,-65,-150,-150,167,74,0
2020-02-21 14:55:57.602395,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-43,-150,-150,-150,-150,211,46,0
2020-02-21 14:55:55.636282,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-71,-150,-150,-63,-150,192,92,0
2020-02-21 14:55:59.667384,884f38bdb494ba676dd41f9f229c89b78c47427d4e1f3f39c2e01f332c524029,-150,-150,-150,-150,-61,122,91,0
2020-02-21 14:56:16.670964,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-67,-63,-65,191,91,0
2020-02-21 14:56:17.597274,ee38c5719c5213bd574110972a022a80d3fdb77d4a7d73a9b89358ff26e2147c,-150,-75,-150,-150,-150,129,70,0
2020-02-21 14:56:23.110067,b3e53b0101cea91eebb8e1dfe3c72c38bd5f8f727ab000d189ca1d2bfd8aeb8b,-150,-150,-150,-71,-67,119,99,0
2020-02-21 14:56:24.468372,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-69,-67,-61,-61,-39,169,79,0
2020-02-21 14:56:39.380960,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-150,-150,-63,186,92,0
2020-02-21 14:56:57.997143,3dd4b47e8da18b71bad7a4d8dbf495854d7937afb4097b6775f8cda0c153b649,-150,-150,-150,-150,-47,136,89,0
2020-02-21 14:56:54.184370,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-39,-150,-150,-150,-150,209,53,0
2020-02-21 14:56:58.384345,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-150,-150,-65,197,92,0
2020-02-21 14:56:56.177302,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-67,-63,-59,-39,173,80,0
2020-02-21 14:57:06.704774,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-41,-150,-150,-150,-65,187,63,0
2020-02-21 14:57:19.391506,ffbfbc80f8af46ff922ab255659de6d09aafb8dada853c653088b27d933859a6,-150,-150,-150,-150,-45,153,40,0
2020-02-21 14:57:12.735070,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-71,-61,-61,190,93,0
2020-02-21 14:57:11.954170,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-63,-67,-63,-61,-150,181,66,0
2020-02-21 14:57:24.127860,4b41dbcbfdc18c7ff92b41fe6ae9c3033348e1d1fb9f2e37e00cabd3f2b9a75e,-69,-150,-150,-49,-150,184,75,0
2020-02-21 14:57:28.750182,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-61,-59,-35,165,69,0
2020-02-21 14:57:35.916237,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-41,-150,-150,-150,-150,214,41,0
2020-02-21 14:57:46.666649,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-61,-150,-67,-150,-49,192,92,0
2020-02-21 14:57:43.449481,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-150,-61,-150,-150,163,76,0
2020-02-21 14:57:54.671402,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-49,-150,-150,-150,-150,146,70,0
2020-02-21 14:57:56.501367,d06cc7cc8150ae26f10a122a00fb133210a086da50cf2f1fec2a993a76adb598,-150,-65,-150,-57,-59,162,81,0
2020-02-21 14:58:09.618842,932f927dcab6b6a17cbee1fb2e3a2ba1528437f6c7843ba0ba56c120333fa093,-150,-150,-150,-150,-49,139,89,0
2020-02-21 14:58:03.295541,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-63,-73,-71,-63,-57,193,93,0
2020-02-21 14:58:17.782054,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-53,-150,-150,-150,-150,214,43,0
2020-02-21 14:58:17.799934,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-67,-57,-59,-37,169,80,0
2020-02-21 14:58:29.378640,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-150,-150,-150,-150,-39,168,83,0
2020-02-21 14:58:35.068141,01dcb42468ee6985b8593ccced4a4f2814c77fbdd8cbf4209de008426a023014,-47,-150,-150,-150,-150,212,42,0
2020-02-21 14:58:36.693239,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-65,-150,-150,-65,-53,191,95,0
2020-02-21 14:58:46.662876,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-73,-150,-150,-150,-39,165,78,0
2020-02-21 14:58:57.868065,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-150,-150,-150,-150,-51,196,88,0
2020-02-21 14:59:00.467087,d0c113130002f3d69d71890293a51ee536f24e1283edc72a3fba39f117b8776b,-61,-150,-150,-65,-150,191,91,0
2020-02-21 14:59:02.465000,b8f0be78495634062b2179455031e7419428b11b86c258d62a3cda4d78c0f811,-71,-65,-63,-59,-37,176,75,0
2020-02-21 14:59:18.622093,4b0f3abff224b0715665b1239bdc2a74cd9130d826f524b4b5775cc9580df5b8,-150,-150,-150,-150,-39,175,68,0
